keys,en,zh_CN
ui.language.en,English,English
ui.language.zh_cn,Simplified Chinese,简体中文
ui.start.title,Project Mag Title,Project Mag 标题
ui.start.continue,Continue,继续
ui.start.new_game,Erase Data,清除存档
ui.start.hp_safety,Keep HP > 1: {state},保留生命值 > 1：{state}
ui.start.resolution,Resolution,分辨率
ui.start.resolution_tooltip,Run standalone or exported build to change window resolution.,请在独立运行或导出版本中修改窗口分辨率。
ui.start.language,Language,语言
ui.start.mechas,Mechas,机甲
ui.common.state.on,ON,开
ui.common.state.off,OFF,关
ui.mecha.exp,Exp: {current} / {next},经验：{current} / {next}
ui.mecha.level,Level: {current} / {max},等级：{current} / {max}
ui.mecha.max_hp,Max HP: {value},最大生命：{value}
ui.mecha.speed,Player Speed: {value},移动速度：{value}
ui.mecha.armor,Armor: {value},护甲：{value}
ui.mecha.shield,Shield: {value},护盾：{value}
ui.mecha.crit_rate,Crit Rate: {value}%,暴击率：{value}%
ui.mecha.crit_damage,Crit Damage: {value},暴击伤害：{value}
ui.mecha.grab_radius,Grab Radius: {value},拾取范围：{value}
ui.mecha.gold,Gold: {value},金币：{value}
ui.hud.equipped,Equipped:,已装备：
ui.hud.gold,Gold: {value},金币：{value}
ui.hud.energy,Energy: {value},能量：{value}
ui.hud.energy_none,Energy: --,能量：--
ui.hud.time,Time: {value},时间：{value}
ui.hud.phase,Phase: {value},阶段：{value}
ui.hud.hp,HP: {current}/{max},生命：{current}/{max}
ui.hud.heat_empty,Heat: --,热量：--
ui.hud.heat,Heat: {value}/{max} ({percent}%){overheat},热量：{value}/{max}（{percent}%）{overheat}
ui.hud.heat_overheat, (OVERHEAT),（过热）
ui.hud.ammo_empty,Ammo: --,弹药：--
ui.hud.ammo,Ammo: {current}/{max}{reload},弹药：{current}/{max}{reload}
ui.hud.ammo_reloading, (Reloading {sec}s),（装填中 {sec}秒）
ui.hud.weapon_state_none,Main: -- | WS: -- | PS: --,主武器：-- | 武器技能：-- | 角色技能：--
ui.hud.weapon_state,Main:{main} Offhand:{offhand} Swap:{swap} WS:{ws} PS:{ps}{fail},主武器：{main} 副武器：{offhand} 切换：{swap} 武器技能：{ws} 角色技能：{ps}{fail}
ui.hud.weapon.main.none,None,无
ui.hud.weapon.main.locked,W1 (locked),W1（锁定）
ui.hud.weapon.main.slot,W{index},W{index}
ui.hud.weapon.swap.on,on,开
ui.hud.weapon.swap.off,off,关
ui.hud.weapon.ready,Ready,就绪
ui.hud.weapon.fail, Fail:{reason}, 失败：{reason}
ui.panel.shop,Shop,商店
ui.panel.upgrade,Upgrade,升级
ui.panel.gear_fuse,Gear Fuse,装备融合
ui.panel.module,Module,模组
ui.panel.inventory,Inventory,背包
ui.panel.pause,Paused,已暂停
ui.panel.resume,Resume,继续
ui.settings.language,Language,语言
ui.panel.refresh,Refresh,刷新
ui.panel.sell,Sell,出售
ui.panel.cancel,Cancel,取消
ui.panel.confirm,Confirm,确认
ui.panel.inventory_bag,Inventory / Bag,背包切换
ui.panel.to_gear_fuse,To Gear Fuse,前往融合
ui.panel.to_upgrade,To Upgrade,前往升级
ui.panel.to_inventory,Inventory,背包
