stage,level,timeout_sec,total_enemy_hp,required_dps,kills,gold_earned,operation,operation_cost,main_weapon_after,offhand_weapon_after,sim_dps,pass,gold_balance_after_stage,enemy_coin_breakdown,enemy_spawn_config
start,0,,,,,0,No operation allowed before 1-1,0,machine gun fuse1 Lv1 (base),none,12.05,,10,,
after_1_1,1,44,420,9.55,60,60,Buy 1 MG; fuse main to fuse2; upgrade main +1 lv,8,machine gun fuse2 Lv2 (gatling_mg),none,12.05,PASS,62,enemy_rolling_ball.tscn:60x1=60,"enemy_rolling_ball(t=1,n=3,wave=20,int=3,cap=120,hp=7,scaled_hp=7)"
after_1_2,2,49,1176,24.0,84,84,Buy 2 MG; fuse chain main to fuse3; upgrade main +1 lv,12,machine gun fuse3 Lv3 (gatling_mg),none,59.12,PASS,134,enemy_wheel_cart.tscn:36x1=36 | enemy_rolling_ball.tscn:48x1=48,"enemy_wheel_cart(t=1,n=2,wave=18,int=4,cap=72,hp=20,scaled_hp=22) | enemy_rolling_ball(t=10,n=3,wave=16,int=4,cap=96,hp=7,scaled_hp=8)"
after_1_3,3,53,1744,32.91,88,88,Buy 1 MG (for second gun path); upgrade main +1 lv,8,machine gun fuse3 Lv4 (gatling_mg),none,68.98,PASS,214,enemy_spike_turret.tscn:40x1=40 | enemy_rolling_ball.tscn:48x1=48,"enemy_spike_turret(t=1,n=2,wave=20,int=4,cap=80,hp=28,scaled_hp=34) | enemy_rolling_ball(t=18,n=3,wave=16,int=4,cap=96,hp=7,scaled_hp=8)"
after_1_4,4,57,1804,31.65,88,88,Buy 1 MG (for second gun path); upgrade main +1 lv,8,machine gun fuse3 Lv5 (gatling_mg),none,88.69,PASS,294,enemy_bomber.tscn:44x1=44 | enemy_mine_crawler.tscn:44x1=44,"enemy_bomber(t=1,n=2,wave=22,int=4,cap=88,hp=16,scaled_hp=21) | enemy_mine_crawler(t=14,n=2,wave=22,int=4,cap=88,hp=15,scaled_hp=20)"
after_1_5,5,62,1887,30.44,59,59,Buy 1 MG (for second gun path),4,machine gun fuse3 Lv5 (gatling_mg),none,108.39,PASS,349,enemy_mortar_turret.tscn:20x1=20 | enemy_mirror_caster.tscn:13x1=13 | enemy_tar_mine_crawler.tscn:26x1=26,"enemy_mortar_turret(t=1,n=1,wave=20,int=5,cap=40,hp=31,scaled_hp=43) | enemy_mirror_caster(t=28,n=1,wave=13,int=6,cap=26,hp=22,scaled_hp=31) | enemy_tar_mine_crawler(t=40,n=2,wave=13,int=5,cap=52,hp=17,scaled_hp=24)"
after_1_6,6,66,2904,44.0,84,84,Buy 1 MG; fuse accumulated spares into offhand fuse3 Lv1,4,machine gun fuse3 Lv5 (gatling_mg),machine gun fuse3 Lv1 (gatling_mg),108.39,PASS,429,enemy_spike_turret.tscn:32x1=32 | enemy_wheel_cart.tscn:28x1=28 | enemy_orbit_support.tscn:24x1=24,"enemy_spike_turret(t=1,n=2,wave=16,int=7,cap=64,hp=28,scaled_hp=42) | enemy_wheel_cart(t=12,n=2,wave=14,int=7,cap=56,hp=20,scaled_hp=30) | enemy_orbit_support(t=22,n=2,wave=12,int=8,cap=48,hp=20,scaled_hp=30)"
after_1_7,7,71,3700,52.11,122,140,Upgrade offhand +1 lv,4,machine gun fuse3 Lv5 (gatling_mg),machine gun fuse3 Lv2 (gatling_mg),108.39,PASS,565,enemy_bomber.tscn:44x1=44 | enemy_mine_crawler.tscn:60x1=60 | enemy_rolling_ball_elite.tscn:18x2=36,"enemy_bomber(t=1,n=2,wave=22,int=5,cap=88,hp=16,scaled_hp=26) | enemy_mine_crawler(t=10,n=3,wave=20,int=5,cap=120,hp=15,scaled_hp=24) | enemy_rolling_ball_elite(t=36,n=1,wave=18,int=6,cap=36,hp=39,scaled_hp=62)"
after_1_8,8,75,4232,56.43,104,148,Upgrade offhand +1 lv,4,machine gun fuse3 Lv5 (gatling_mg),machine gun fuse3 Lv3 (gatling_mg),108.39,PASS,709,enemy_mortar_turret.tscn:44x2=88 | enemy_tar_mine_crawler.tscn:40x1=40 | enemy_mirror_caster.tscn:20x1=20,"enemy_mortar_turret(t=1,n=2,wave=22,int=6,cap=88,hp=31,scaled_hp=53) | enemy_tar_mine_crawler(t=15,n=2,wave=20,int=6,cap=80,hp=17,scaled_hp=29) | enemy_mirror_caster(t=25,n=1,wave=20,int=6,cap=40,hp=22,scaled_hp=37)"
after_1_9,9,79,6232,78.89,156,156,Upgrade offhand +2 lv,8,machine gun fuse3 Lv5 (gatling_mg),machine gun fuse3 Lv5 (gatling_mg),108.39,PASS,857,enemy_wheel_cart.tscn:72x1=72 | enemy_spike_turret.tscn:44x1=44 | enemy_orbit_support.tscn:40x1=40,"enemy_wheel_cart(t=1,n=3,wave=24,int=6,cap=144,hp=20,scaled_hp=36) | enemy_spike_turret(t=10,n=2,wave=22,int=6,cap=88,hp=28,scaled_hp=50) | enemy_orbit_support(t=20,n=2,wave=20,int=6,cap=80,hp=20,scaled_hp=36)"
