"stage","level","timeout_sec","total_enemy_hp","required_dps","kills","gold_earned","operation","operation_cost","main_weapon_after","offhand_weapon_after","sim_dps","pass","gold_balance_after_stage","enemy_coin_breakdown","enemy_spawn_config"
"start","0","","","","","0","No operation allowed before 1-1","0","machine gun fuse1 Lv1 (base)","none","12.05","","10","",""
"after_1_1","1","44","400","9.09","40","80","Buy 1 MG; fuse main to fuse2; upgrade main +1 lv","8","machine gun fuse2 Lv2 (gatling_mg)","none","12.05","PASS","82","enemy_rolling_ball.tscn:40x2=80","enemy_rolling_ball(t=1,n=5,wave=20,int=3,cap=220,hp=10,scaled_hp=10)"
"after_1_2","2","49","450","9.18","45","90","Buy 2 MG; fuse chain main to fuse3; upgrade main +1 lv","12","machine gun fuse3 Lv3 (gatling_mg)","none","59.12","PASS","160","enemy_wheel_cart.tscn:29x2=58 | enemy_rolling_ball.tscn:16x2=32","enemy_wheel_cart(t=1,n=4,wave=18,int=4,cap=140,hp=10,scaled_hp=10) | enemy_rolling_ball(t=10,n=5,wave=16,int=4,cap=180,hp=10,scaled_hp=10)"
"after_1_3","3","53","1000","18.87","100","200","Buy 1 MG (for second gun path); upgrade main +1 lv","8","machine gun fuse3 Lv4 (gatling_mg)","none","68.98","PASS","352","enemy_spike_turret.tscn:60x2=120 | enemy_rolling_ball.tscn:40x2=80","enemy_spike_turret(t=1,n=3,wave=20,int=4,cap=150,hp=10,scaled_hp=10) | enemy_rolling_ball(t=18,n=5,wave=16,int=4,cap=210,hp=10,scaled_hp=10)"
"after_1_4","4","57","1230","21.58","123","246","Buy 1 MG (for second gun path); upgrade main +1 lv","8","machine gun fuse3 Lv5 (gatling_mg)","none","88.69","PASS","590","enemy_bomber.tscn:70x2=140 | enemy_mine_crawler.tscn:53x2=106","enemy_bomber(t=1,n=4,wave=22,int=4,cap=170,hp=10,scaled_hp=10) | enemy_mine_crawler(t=14,n=3,wave=22,int=4,cap=170,hp=10,scaled_hp=10)"
"after_1_5","5","62","1565","25.24","105","210","Buy 1 MG (for second gun path)","4","machine gun fuse3 Lv5 (gatling_mg)","none","108.39","PASS","796","enemy_mortar_turret.tscn:40x2=80 | enemy_mirror_caster.tscn:26x2=52 | enemy_tar_mine_crawler.tscn:39x2=78","enemy_mortar_turret(t=1,n=2,wave=20,int=5,cap=90,hp=13,scaled_hp=18) | enemy_mirror_caster(t=28,n=2,wave=13,int=6,cap=60,hp=10,scaled_hp=13) | enemy_tar_mine_crawler(t=40,n=3,wave=13,int=5,cap=110,hp=10,scaled_hp=13)"
"after_1_6","6","66","1884","28.55","126","252","Buy 1 MG; fuse accumulated spares into offhand fuse3 Lv1","4","machine gun fuse3 Lv5 (gatling_mg)","machine gun fuse3 Lv1 (gatling_mg)","108.39","PASS","1044","enemy_spike_turret.tscn:48x2=96 | enemy_wheel_cart.tscn:42x2=84 | enemy_orbit_support.tscn:36x2=72","enemy_spike_turret(t=1,n=3,wave=16,int=7,cap=130,hp=12,scaled_hp=18) | enemy_wheel_cart(t=12,n=3,wave=14,int=7,cap=120,hp=10,scaled_hp=14) | enemy_orbit_support(t=22,n=3,wave=12,int=8,cap=110,hp=10,scaled_hp=12)"
"after_1_7","7","71","2316","32.62","153","306","Upgrade offhand +1 lv","4","machine gun fuse3 Lv5 (gatling_mg)","machine gun fuse3 Lv2 (gatling_mg)","108.39","PASS","1346","enemy_bomber.tscn:66x2=132 | enemy_mine_crawler.tscn:80x2=160 | enemy_rolling_ball_elite.tscn:7x2=14","enemy_bomber(t=1,n=3,wave=22,int=5,cap=170,hp=10,scaled_hp=11) | enemy_mine_crawler(t=10,n=4,wave=20,int=5,cap=240,hp=12,scaled_hp=19) | enemy_rolling_ball_elite(t=36,n=2,wave=18,int=6,cap=80,hp=10,scaled_hp=10)"
"after_1_8","8","75","2836","37.81","166","398","Upgrade offhand +1 lv","4","machine gun fuse3 Lv5 (gatling_mg)","machine gun fuse3 Lv3 (gatling_mg)","108.39","PASS","1740","enemy_mortar_turret.tscn:66x3=198 | enemy_tar_mine_crawler.tscn:60x2=120 | enemy_mirror_caster.tscn:40x2=80","enemy_mortar_turret(t=1,n=3,wave=22,int=6,cap=180,hp=15,scaled_hp=26) | enemy_tar_mine_crawler(t=15,n=3,wave=20,int=6,cap=150,hp=10,scaled_hp=12) | enemy_mirror_caster(t=25,n=2,wave=20,int=6,cap=90,hp=10,scaled_hp=10)"
"after_1_9","9","79","3468","43.9","204","474","Upgrade offhand +2 lv","8","machine gun fuse3 Lv5 (gatling_mg)","machine gun fuse3 Lv5 (gatling_mg)","108.39","PASS","2206","enemy_wheel_cart.tscn:96x2=192 | enemy_spike_turret.tscn:66x3=198 | enemy_orbit_support.tscn:42x2=84","enemy_wheel_cart(t=1,n=4,wave=24,int=6,cap=260,hp=10,scaled_hp=18) | enemy_spike_turret(t=10,n=3,wave=22,int=6,cap=170,hp=11,scaled_hp=20) | enemy_orbit_support(t=20,n=3,wave=20,int=6,cap=150,hp=10,scaled_hp=10)"
"after_1_10","10","84","4246","50.55","231","534","No operation","0","machine gun fuse3 Lv5 (gatling_mg)","machine gun fuse3 Lv5 (gatling_mg)","108.39","PASS","2740","enemy_mortar_turret.tscn:72x3=216 | enemy_bomber.tscn:112x2=224 | enemy_rolling_ball_elite.tscn:40x2=80 | enemy_mirror_caster.tscn:7x2=14","enemy_mortar_turret(t=1,n=3,wave=24,int=6,cap=190,hp=11,scaled_hp=21) | enemy_bomber(t=8,n=4,wave=28,int=5,cap=280,hp=10,scaled_hp=17) | enemy_rolling_ball_elite(t=18,n=2,wave=20,int=7,cap=90,hp=10,scaled_hp=19) | enemy_mirror_caster(t=30,n=2,wave=18,int=7,cap=80,hp=10,scaled_hp=10)"
